kode_dokter:id_spesialis:id_poli:nama_dokter:hari:jam
117:19:POLIKLINIK GIZI:GAGA IRAWAN,DR. DR., SP.GK, M.GIZI:RABU:"14:00 s.d 16:00"
118:19:POLIKLINIK GIZI:IKBAL GENTAR ALAM, DR. SP. GK. M.KES.:RABU:"09:00 s.d 12:00"
119:10:POLIKLINIK JANTUNG:CHARLOTTE JOHANNA COOL, DR., SPJP, FIHA:RABU:"12:00 s.d 14:00"
120:10:POLIKLINIK JANTUNG:FAJAR ASHARI, H. DR., SP. JP.:RABU:"09:00 s.d 12:00"
121:10:POLIKLINIK JANTUNG:HARVI PUSPA WARDANI, DR., SP.JP.:RABU:"14:00 s.d 17:00"
122:10:POLIKLINIK JANTUNG:RATNA NURMELIANI, DR., SPJP:RABU:"08:00 s.d 12:00"
123:10:POLIKLINIK JANTUNG:WIDI NUGRAHA HADIAN, DR, SP.JP:RABU:"09:00 s.d 12:00"
124:21:POLIKLINIK KANDUNGAN:DELLE HELIANI AMALI, DR., SP.OG.:RABU:"14:00 s.d 15:00"
125:21:POLIKLINIK KANDUNGAN:HILMAN, DR., SP.OG:RABU:"16:30 s.d 17:00"
126:21:POLIKLINIK KANDUNGAN (RAUDHAH):DELLE HELIANI AMALI, DR., SP.OG.:RABU:"09:00 s.d 12:00"
127:21:POLIKLINIK KANDUNGAN (RAUDHAH):HILMAN, DR., SP.OG:RABU:"15:00 s.d 16:30"
128:25:POLIKLINIK KHITAN:MALI PAMUAJI W., H. DR.:RABU:"10:00 s.d 12:00"
129:7:POLIKLINIK KULIT DAN KELAMIN:IRMA JANTHY, DR., SP.KK:RABU:"13:00 s.d 14:00"
130:7:POLIKLINIK KULIT DAN KELAMIN:WIDIATI, DR. , SP.KK:RABU:"09:00 s.d 10:30"
131:13:POLIKLINIK MATA:GILANG MUTIARA, DR., SP. M:RABU:"10:00 s.d 12:00"
132:26:POLIKLINIK ORTODONTI:YOURI ADRINATA SAYUTO, DRG., SP. ORT:RABU:"09:00 s.d 12:00"
133:24:POLIKLINIK PARU:AZRIL HASAN, DR.,SP.P.:RABU:"10:00 s.d 12:00"
134:5:POLIKLINIK PENYAKIT DALAM:EKA SURYA NUGRAHA, SP.PD:RABU:"17:00 s.d 18:00"
135:5:POLIKLINIK PENYAKIT DALAM:MUHAMMAD IQBAL, H. DR.,SP.PD.:RABU:"11:00 s.d 13:00"
136:5:POLIKLINIK PENYAKIT DALAM:TULUS WIDIYANTO, DR., SP.PD.:RABU:"08:00 s.d 10:00"
137:5:POLIKLINIK PENYAKIT DALAM:YANA AKHMAD, DR., DR., SP.PD (K).:RABU:"17:00 s.d 18:00"
138:5:POLIKLINIK PENYAKIT DALAM PINERE:TULUS WIDIYANTO, DR., SP.PD.:RABU:"09:00 s.d 13:00"
139:5:POLIKLINIK PENYAKIT DALAM (RAUDHAH):MUHAMMAD IQBAL, H. DR.,SP.PD.:RABU:"09:00 s.d 11:00"
140:5:POLIKLINIK PENYAKIT DALAM (RAUDHAH):RADEN BENI BENARDI, DR., SPPD:RABU:"14:30 s.d 16:00"
141:28:POLIKLINIK PERIODONTI:DEWI LIDYA ICHWANA, DRG., SP.PERIO:RABU:"09:00 s.d 12:00"
142:22:POLIKLINIK PSIKIATRI:UNTUNG SENTOSA, DR., SP. KJ.:RABU:"08:00 s.d 14:00"
143:23:POLIKLINIK PSIKOLOGI:SELLA FAUZIAH RAHMAH PERMATA:RABU:"10:00 s.d 12:00"
144:23:POLIKLINIK PSIKOLOGI:SELLY MAHLIANI, DRA. PSI:RABU:"10:00 s.d 12:00"
145:4:POLIKLINIK SYARAF:DASWARA DJAJASASMITA, DR., SP.S:RABU:"09:00 s.d 13:00"
146:4:POLIKLINIK SYARAF (RAUDHAH):NURI AMALIA, HJ. DR., SP.S.:RABU:"09:00 s.d 11:00"
147:4:POLIKLINIK SYARAF (RAUDHAH):ROSLAINI, DR., SP.S:RABU:"11:00 s.d 13:00"
148:15:POLIKLINIK THT:KOM POL PURWADI, DR., SP.THT-KL:RABU:"16:00 s.d 17:00"
149:11:POLIKLINIK ANAK:LIA MARLIA K., HJ. DR. SP. A.:KAMIS:"07:30 s.d 09:00"
150:11:POLIKLINIK ANAK:REBY KUSUMAJAYA, DR., SP.A(K), M.KES.:KAMIS:"15:00 s.d 16:00"
151:11:POLIKLINIK ANAK:WEDI ISKANDAR, DR. SP.A.:KAMIS:"09:00 s.d 12:00"
152:11:POLIKLINIK ANAK:YENI ANDAYANI, HJ. DR. SP.A.:KAMIS:"08:00 s.d 10:00"
153:11:POLIKLINIK ANAK :LIA MARLIA K., HJ. DR. SP. A.:KAMIS:"11:00 s.d 13:00"
154:11:POLIKLINIK ANAK PINERE:BURHAN, DR., SP.A.:KAMIS:"10:00 s.d 12:00"
155:9:POLIKLINIK BEDAH ORTHOPEDI (RAUDHAH):DENY HERMANA, DR, SP.OT.:KAMIS:"08:00 s.d 10:00"
156:6:POLIKLINIK BEDAH MULUT:DIPO KENTJONO, DRG., SP.BM:KAMIS:"10:00 s.d 12:00"
157:9:POLIKLINIK BEDAH ORTHOPEDY:DADANG RUKANTA, H. DR., SP.OT.FICS., M.KES.:KAMIS:"10:00 s.d 12:00"
158:6:POLIKLINIK BEDAH UMUM:IRZAN GUSTANTO NUGRAHA LUBIS, DR. SP.B.:KAMIS:"08:00 s.d 10:00"
159:6:POLIKLINIK BEDAH UMUM (RAUDHAH):CATUR SETYO DAMARIANTO, H. DR., SP. B.:KAMIS:"10:00 s.d 12:00"
160:1:POLIKLINIK BEDAH UROLOGI:AHMAD AGIL, DR., SP.U:KAMIS:"09:00 s.d 12:00"
161:18:POLIKLINIK GIGI:RINA JOEANDA, DRG.:KAMIS:"09:00 s.d 12:00"
162:19:POLIKLINIK GIZI:RITA RATNASARI, DR., SP.GK:KAMIS:"10:00 s.d 12:00"
163:10:POLIKLINIK JANTUNG:FAJAR ASHARI, H. DR., SP. JP.:KAMIS:"09:00 s.d 12:00"
164:10:POLIKLINIK JANTUNG:HARVI PUSPA WARDANI, DR., SP.JP.:KAMIS:"14:00 s.d 17:00"
165:10:POLIKLINIK JANTUNG:M. AGUS THOSIN H. A. T., H. DR., SP.JP.:KAMIS:"15:30 s.d 16:00"
166:10:POLIKLINIK JANTUNG:SUGIANTORO, DR., SP. JP.:KAMIS:"10:00 s.d 12:00"
167:21:POLIKLINIK KANDUNGAN:ALI BUDI HARSONO, DR., SP.OG(K).:KAMIS:"16:30 s.d 17:00"
168:21:POLIKLINIK KANDUNGAN:ANNISA, DR., SP.OG.:KAMIS:"12:00 s.d 13:00"
169:21:POLIKLINIK KANDUNGAN (RAUDHAH):ALI BUDI HARSONO, DR., SP.OG(K).:KAMIS:"16:00 s.d 16:30"
170:21:POLIKLINIK KANDUNGAN (RAUDHAH):ANDI RINALDI, DR., SP.OG(K).:KAMIS:"15:00 s.d 16:30"
171:21:POLIKLINIK KANDUNGAN (RAUDHAH):ANNISA, DR., SP.OG.:KAMIS:"09:00 s.d 12:00"
172:25:POLIKLINIK KHITAN:DICKY ROSYADI, DR.:KAMIS:"10:00 s.d 12:00"
173:7:POLIKLINIK KULIT DAN KELAMIN:ANDI FAUZIAH, DR., SP.KK:KAMIS:"14:00 s.d 15:00"
174:7:POLIKLINIK KULIT DAN KELAMIN:WIDIATI, DR. , SP.KK:KAMIS:"10:00 s.d 12:00"
175:13:POLIKLINIK MATA:GILANG MUTIARA, DR., SP. M:KAMIS:"10:00 s.d 12:00"
176:26:POLIKLINIK ORTODONTI:HILLDA HERAWATI, DRG., SP.ORT:KAMIS:"12:30 s.d 14:00"
177:24:POLIKLINIK PARU:AZRIL HASAN, DR.,SP.P.:KAMIS:"10:00 s.d 12:00"
178:5:POLIKLINIK PENYAKIT DALAM:HARSYA PRIYANGGA P NUGRAHA, DR., SPPD:KAMIS:"08:00 s.d 10:00"
179:5:POLIKLINIK PENYAKIT DALAM:IWAN S. MERTASUDIRA, DR. SP.PD:KAMIS:"12:00 s.d 15:00"
180:5:POLIKLINIK PENYAKIT DALAM:MUHAMMAD IQBAL, H. DR.,SP.PD.:KAMIS:"11:00 s.d 13:00"
181:5:POLIKLINIK PENYAKIT DALAM:RESNO HADIONO ADELA, DR., SP.PD.:KAMIS:"08:00 s.d 12:00"
182:5:POLIKLINIK PENYAKIT DALAM (RAUDHAH):IWAN S. MERTASUDIRA, DR. SP.PD:KAMIS:"10:00 s.d 12:00"
183:5:POLIKLINIK PENYAKIT DALAM (RAUDHAH):MUHAMMAD IQBAL, H. DR.,SP.PD.:KAMIS:"09:00 s.d 11:00"
184:5:POLIKLINIK PENYAKIT DALAM (RAUDHAH):TULUS WIDIYANTO, DR., SP.PD.:KAMIS:"08:30 s.d 10:00"
185:29:POLIKLINIK PROSTODONTI:RHENI SAFIRA ISNAENI, DRG., SP.PROS:KAMIS:"13:00 s.d 14:00"
186:22:POLIKLINIK PSIKIATRI:UNTUNG SENTOSA, DR., SP. KJ.:KAMIS:"08:00 s.d 14:00"
187:23:POLIKLINIK PSIKOLOGI:SELLA FAUZIAH RAHMAH PERMATA:KAMIS:"10:00 s.d 12:00"
188:4:POLIKLINIK SYARAF:DASWARA DJAJASASMITA, DR., SP.S:KAMIS:"09:00 s.d 11:00"
189:4:POLIKLINIK SYARAF:NURI AMALIA, HJ. DR., SP.S.:KAMIS:"08:00 s.d 11:00"
190:4:POLIKLINIK SYARAF:ROSLAINI, DR., SP.S:KAMIS:"11:00 s.d 14:00"
191:4:POLIKLINIK SYARAF (RAUDHAH):NURI AMALIA, HJ. DR., SP.S.:KAMIS:"11:00 s.d 13:00"
192:4:POLIKLINIK SYARAF (RAUDHAH):ROSLAINI, DR., SP.S:KAMIS:"09:00 s.d 11:00"
193:15:POLIKLINIK THT:KOM POL PURWADI, DR., SP.THT-KL:KAMIS:"16:00 s.d 17:00"
194:11:POLIKLINIK ANAK:BURHAN, DR., SP.A.:JUMAT:"08:00 s.d 10:00"
195:11:POLIKLINIK ANAK:DICKY SANTOSA, DR.,SP.A., MM., M.KES.:JUMAT:"14:00 s.d 16:00"
196:11:POLIKLINIK ANAK:WEDI ISKANDAR, DR. SP.A.:JUMAT:"08:00 s.d 11:00"
197:11:POLIKLINIK ANAK:YENI ANDAYANI, HJ. DR. SP.A.:JUMAT:"09:00 s.d 12:00"
198:11:POLIKLINIK ANAK :BURHAN, DR., SP.A.:JUMAT:"11:00 s.d 13:00"
199:11:POLIKLINIK ANAK PINERE:DICKY SANTOSA, DR.,SP.A., MM., M.KES.:JUMAT:"13:00 s.d 15:00"
200:11:POLIKLINIK ANAK PINERE:LIA MARLIA K., HJ. DR. SP. A.:JUMAT:"10:00 s.d 12:00"
201:9:POLIKLINIK BEDAH ORTHOPEDI (RAUDHAH):DADANG RUKANTA, H. DR., SP.OT.FICS., M.KES.:JUMAT:"10:00 s.d 12:00"
202:3:POLIKLINIK BEDAH ANAK:ARIF BUDIMAN, DR,. SP. B (K) A:JUMAT:"15:00 s.d 16:00"
203:9:POLIKLINIK BEDAH ORTHOPEDY:DENY HERMANA, DR, SP.OT.:JUMAT:"08:00 s.d 10:00"
204:6:POLIKLINIK BEDAH UMUM:CATUR SETYO DAMARIANTO, H. DR., SP. B.:JUMAT:"10:00 s.d 12:00"
205:6:POLIKLINIK BEDAH UMUM (RAUDHAH):LIZA NURSANTY, DR., SP.B, M.KES, FINACS:JUMAT:"10:00 s.d 12:00"
206:1:POLIKLINIK BEDAH UROLOGI:TJAHJODJATI, DR., SP.B, (K) U:JUMAT:"14:00 s.d 15:00"
207:18:POLIKLINIK GIGI:ANNA NURWULAN, HJ. DRG.:JUMAT:"09:00 s.d 12:00"
208:18:POLIKLINIK GIGI:KUSHARI SUSANTO NB, DRG.:JUMAT:"09:00 s.d 12:00"
209:18:POLIKLINIK GIGI:TINI KARTINI DAHLAN, DRG.:JUMAT:"09:00 s.d 12:00"
210:19:POLIKLINIK GIZI:IKBAL GENTAR ALAM, DR. SP. GK. M.KES.:JUMAT:"09:00 s.d 12:00"
211:10:POLIKLINIK JANTUNG:APRILIANASARY UTAMI DEWI, DR., SP.JP.:JUMAT:"09:00 s.d 11:30"
212:10:POLIKLINIK JANTUNG:FAJAR ASHARI, H. DR., SP. JP.:JUMAT:"08:00 s.d 11:00"
213:10:POLIKLINIK JANTUNG:RATNA NURMELIANI, DR., SPJP:JUMAT:"14:00 s.d 16:00"
214:10:POLIKLINIK JANTUNG:SUGIANTORO, DR., SP. JP.:JUMAT:"10:00 s.d 15:00"
215:10:POLIKLINIK JANTUNG:WIDI NUGRAHA HADIAN, DR, SP.JP:JUMAT:"13:00 s.d 15:00"
216:21:POLIKLINIK KANDUNGAN:DWIWAHJU DIAN INDAHWATI, DR., SP.OG.:JUMAT:"16:00 s.d 17:00"
217:21:POLIKLINIK KANDUNGAN:INDAH MAHARANI, DR. SP.OG:JUMAT:"12:00 s.d 13:00"
